# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 01 09:06:43 CET 2021 [seed=1614585993771]
# TreeTime_270221.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate1	coordinates.traitLikelihood1
120000	-363253.7994075681	-51016.854097694435	-312236.94530987367	1.8108823686720037E-11	-4.35064348300059E-12	-4.35064348300059E-12	2.6135733095800005E-11	0.19998205773852598	5.752217248645513E10	9.575337486762451E9	9.575337486762453E9	3.985573604597716E10	483837.3118505106	-312236.94530987367
130000	-363268.2602833386	-51099.2907125721	-312168.9695707665	1.8070320265220712E-11	-4.0992994872987E-12	-4.0992994872987E-12	2.6737309077260637E-11	0.18649529305368953	5.733344795986929E10	8.790225416769524E9	8.790225416769522E9	3.874861765447153E10	482223.1554336342	-312168.9695707665
140000	-363133.69715172483	-51132.96065177195	-312000.73649995285	1.821388679989262E-11	-4.433091791326524E-12	-4.433091791326524E-12	2.681411307909507E-11	0.20059665605423152	5.720503779819022E10	9.45752644279663E9	9.45752644279663E9	3.885737632889025E10	482033.3593914975	-312000.73649995285
150000	-363101.3851186658	-51170.86573562651	-311930.5193830393	1.8170000391726495E-11	-3.959293786734846E-12	-3.959293786734846E-12	2.6693840894535753E-11	0.17977724726359073	5.687392942505908E10	8.435676090581898E9	8.435676090581898E9	3.87130246267365E10	481557.81516595866	-311930.5193830393
160000	-363109.85157434846	-51238.04317360448	-311871.808400744	1.8117594453679885E-11	-4.110585735445412E-12	-4.110585735445412E-12	2.7351175939906E-11	0.18465685823036068	5.7143451746628746E10	8.588042362050363E9	8.588042362050362E9	3.78521891235512E10	482141.38499664626	-311871.808400744
170000	-363131.7453216698	-51287.94839734359	-311843.7969243262	1.818890400217037E-11	-4.332539268057101E-12	-4.332539268057101E-12	2.670000292445724E-11	0.1966000336177769	5.718901931086659E10	9.279911787539331E9	9.279911787539331E9	3.895900630298397E10	481127.0017996337	-311843.7969243262
180000	-363083.8911429953	-51338.119420749754	-311745.7717222455	1.8284167525469142E-11	-4.391526188778186E-12	-4.391526188778186E-12	2.7540644435575565E-11	0.19570000284339822	5.687016794382856E10	9.068300216059103E9	9.068300216059103E9	3.775596755983446E10	482235.06940667116	-311745.7717222455
190000	-363104.80170453095	-51407.05588151237	-311697.7458230186	1.8319043022041075E-11	-4.201793900355888E-12	-4.201793900355888E-12	2.6986744090091843E-11	0.188976634183583	5.660965797148126E10	8.814035319404606E9	8.814035319404606E9	3.842756119006375E10	481433.2293389543	-311697.7458230186
200000	-363031.25169157045	-51448.47032703443	-311582.78136453603	1.836176250867925E-11	-4.1499540502326914E-12	-4.1499540502326914E-12	2.7664335016062978E-11	0.18413060811459983	5.637225222977257E10	8.456456890283019E9	8.456456890283019E9	3.741618610826658E10	480815.85843701864	-311582.78136453603
210000	-363003.47410124785	-51489.579959491755	-311513.8941417561	1.859125956142871E-11	-4.4666843473496024E-12	-4.4666843473496024E-12	2.7610205028856255E-11	0.19714966332477418	5.5963922196013824E10	9.053651540362392E9	9.053651540362392E9	3.7683161082443954E10	481161.92676748073	-311513.8941417561
220000	-362983.6002631379	-51559.33185024572	-311424.2684128922	1.8545903830200384E-11	-4.610259553568805E-12	-4.610259553568805E-12	2.778372146258473E-11	0.2030982430954358	5.6240104592690575E10	9.332136439725145E9	9.332136439725147E9	3.7540815854386185E10	481178.0497208273	-311424.2684128922
