utla,Early_count_elephants,Early_count_all,Early_count_del_21765_6,Late_count_elephants,Late_count_all,Late_count_del_21765_6,Later_count_elephants,Later_count_all,Later_count_del_21765_6,Latest_count_elephants,Latest_count_all,Latest_count_del_21765_6,Jan2021_count_elephants,Jan2021_count_all,Jan2021_count_del_21765_6,arrival_days_later,arrival,growth,mob,cases_pre_nov,cases_pre_jan,pop,S_in_nov,S_in_jan,inc_pre_nov,inc_pre_jan,propu20,u20,early_mob,late_mob,later_mob,latest_mob,Jan2021_mob,latest_internal,Jan2021_internal,map_change_early_late,map_change_late_later,map_change_early_later,map_change_later_latest,map_change_latest_jan2021,map_early,map_late,map_later,map_latest,map_jan2021
S12000010,0,43,2,0,1,0,0,9,0,0,3,0,2,6,2,1,06/01/2021,0.008349392,NA,781,1706,107090,106309,105384,0.007292931,0.015930526,0.232888225,107090,NA,NA,NA,NA,NA,NA,NA,0.004206362,0.000575015,0.004781378,0.004728494,0.141245944,0.008078019,0.012284381,0.012859397,0.01758789,0.158833834
S12000011,0,114,3,1,5,1,0,6,0,3,8,3,4,7,4,50,18/11/2020,-0.009514869,NA,1425,3020,95530,94105,92510,0.01491678,0.031613106,0.26167696,95530,NA,NA,NA,NA,NA,NA,NA,0.01315746,-0.000826508,0.012330952,0.10609382,0.154667785,0.004052937,0.017210397,0.016383889,0.122477709,0.277145494
S12000013,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03234078,NA,69,107,26720,26651,26613,0.002582335,0.004004491,0.203929641,26720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055888921,NA,NA,NA,NA
S12000014,0,56,0,NA,NA,NA,0,4,0,3,7,3,8,10,8,38,30/11/2020,-0.040587794,NA,1573,2934,160890,159317,157956,0.009776866,0.018236062,0.227310585,160890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006660264,NA,NA,NA,NA
S12000017,0,41,2,NA,NA,NA,0,5,0,7,14,7,16,20,16,21,17/12/2020,0.015740158,NA,621,1401,235830,235209,234429,0.002633253,0.00594072,0.215990332,235830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008367118,NA,NA,NA,NA
S12000018,0,27,0,0,3,0,2,4,2,1,2,1,8,9,8,33,05/12/2020,0.041984164,NA,685,1689,77800,77115,76111,0.008804627,0.021709512,0.21377892,77800,NA,NA,NA,NA,NA,NA,NA,0.004101654,0.146145114,0.150246768,0.081893168,0.442292683,0.011431255,0.015532909,0.161678023,0.243571191,0.685863874
S12000019,0,37,4,0,3,0,1,12,1,0,2,0,1,5,1,28,10/12/2020,0.042919435,NA,1038,1959,92460,91422,90501,0.011226476,0.021187541,0.245652174,92460,NA,NA,NA,NA,NA,NA,NA,0.003683396,0.032237506,0.035920901,-0.003411955,0.065444308,0.00902886,0.012712256,0.044949762,0.041537807,0.106982115
S12000020,0,11,0,NA,NA,NA,NA,NA,NA,0,4,0,4,11,4,3,04/01/2021,-0.011630764,NA,201,488,95820,95619,95332,0.002097683,0.005092882,0.221623878,95820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02251968,NA,NA,NA,NA
S12000021,0,63,8,NA,NA,NA,2,20,2,0,2,0,7,14,7,33,05/12/2020,0.037469014,NA,1565,3570,134740,133175,131170,0.011614962,0.026495473,0.219815942,134740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006118816,NA,NA,NA,NA
S12000026,0,24,1,NA,NA,NA,NA,NA,NA,5,7,5,6,13,6,15,23/12/2020,0.066074168,NA,734,1792,115510,114776,113718,0.006354428,0.015513808,0.213557268,115510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012493365,NA,NA,NA,NA
S12000028,0,57,2,NA,NA,NA,1,7,1,1,6,1,1,3,1,26,12/12/2020,-0.02493086,NA,1198,2520,112610,111412,110090,0.010638487,0.022378119,0.205763254,112610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006575587,NA,NA,NA,NA
S12000029,0,373,29,0,5,0,2,42,2,0,12,0,13,19,13,33,05/12/2020,0.022464877,NA,6652,12177,320530,313878,308353,0.020753128,0.037990204,0.225838455,320530,NA,NA,NA,NA,NA,NA,NA,0.000821718,0.011888514,0.012710232,-0.001710857,0.213991052,0.001981529,0.002803247,0.014691761,0.012980904,0.226971957
S12000030,0,41,1,NA,NA,NA,0,3,0,0,2,0,2,3,2,21,17/12/2020,0.004923194,NA,741,1786,94210,93469,92424,0.007865407,0.018957648,0.230177264,94210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008367118,NA,NA,NA,NA
S12000033,0,68,1,0,1,0,1,9,1,1,12,1,18,24,18,27,11/12/2020,0.029796445,NA,2084,4380,228670,226586,224290,0.00911357,0.01915424,0.207211265,228670,NA,NA,NA,NA,NA,NA,NA,0.003047266,0.029878152,0.032925419,0.020905745,0.451531168,0.0057942,0.008841466,0.038719619,0.059625364,0.511156532
S12000034,0,18,0,0,17,0,0,5,0,2,9,2,14,22,14,31,07/12/2020,-0.009289298,NA,960,3240,261210,260250,257970,0.003675204,0.012403813,0.237678496,261210,NA,NA,NA,NA,NA,NA,NA,-0.004510359,0.003035183,-0.001475177,0.09690325,0.372041083,0.015532252,0.011021893,0.014057075,0.110960325,0.483001408
S12000035,0,24,1,0,1,0,0,3,0,1,1,1,1,1,1,41,27/11/2020,0.014940829,NA,469,925,85870,85401,84945,0.005461744,0.010772097,0.201444043,85870,NA,NA,NA,NA,NA,NA,NA,0.006131726,0.00431318,0.010444905,0.149423414,0.209583556,0.012493365,0.01862509,0.02293827,0.172361684,0.381945239
S12000036,0,385,5,0,30,0,5,47,5,4,32,4,18,37,18,24,14/12/2020,0.030257974,NA,5769,10889,524930,519161,514041,0.010990037,0.020743718,0.204044349,524930,NA,NA,NA,NA,NA,NA,NA,0.000617323,0.029132076,0.0297494,0.026834279,0.170938946,0.001949071,0.002566394,0.03169847,0.058532749,0.229471696
S12000038,0,194,4,1,18,1,1,15,1,7,21,7,8,21,8,50,18/11/2020,0.029954043,NA,2843,6339,179100,176257,172761,0.015873814,0.035393635,0.221434953,179100,NA,NA,NA,NA,NA,NA,NA,0.006651259,0.011508451,0.01815971,0.114226193,0.103824774,0.002878746,0.009530005,0.021038455,0.135264648,0.239089423
S12000039,0,99,1,0,1,0,1,2,1,2,5,2,1,2,1,55,13/11/2020,-0.000491811,NA,1521,2624,88930,87409,86306,0.01710334,0.029506353,0.227572248,88930,NA,NA,NA,NA,NA,NA,NA,0.002318094,0.03090045,0.033218545,0.096233479,0.064332153,0.004458792,0.006776886,0.037677337,0.133910815,0.198242969
S12000040,0,140,3,0,5,0,0,9,0,0,2,0,3,5,3,23,15/12/2020,-0.01353826,NA,2267,4473,183100,180833,178627,0.012381212,0.024429274,0.248399782,183100,NA,NA,NA,NA,NA,NA,NA,0.001595765,0.001845284,0.003441049,0.003738386,0.159186465,0.003538728,0.005134494,0.006979777,0.010718163,0.169904627
