,date,ltla_code,rates_sgtf,rates_Nsgtf,excess_growthrate,inf_mov,b117_intro_count_daily,LTLA_name,dateltlacode,date_int,inf_mov_log,inf_mov_st
118,24/10/2020,E06000014,0.00436855,-0.109104288,0.113472838,NA,0,York,2020-10-24E06000014,20,NA,NA
119,15/12/2020,E06000014,0.1256649,0.062980427,0.062684474,NA,0.571428571,York,2020-12-15E06000014,72,NA,NA
120,10/10/2020,E06000014,0.086625646,-0.045425724,0.13205137,NA,0,York,2020-10-10E06000014,6,NA,NA
121,19/10/2020,E06000014,0.019435074,0.01982649,-0.000391417,NA,0,York,2020-10-19E06000014,15,NA,NA
122,12/11/2020,E06000014,0.035845264,0.062108669,-0.026263406,NA,0,York,2020-11-12E06000014,39,NA,NA
123,15/10/2020,E06000014,-0.056277489,0.101556333,-0.157833821,NA,0,York,2020-10-15E06000014,11,NA,NA
124,23/10/2020,E06000014,-0.019432609,0.045418645,-0.064851254,NA,0,York,2020-10-23E06000014,19,NA,NA
125,30/11/2020,E06000014,0.018582579,-0.03414612,0.052728699,NA,0.571428571,York,2020-11-30E06000014,57,NA,NA
126,27/10/2020,E06000014,-0.011810238,0.023277034,-0.035087272,NA,0,York,2020-10-27E06000014,23,NA,NA
127,10/12/2020,E06000014,0.101390265,0.076628201,0.024762064,NA,0.285714286,York,2020-12-10E06000014,67,NA,NA
128,11/12/2020,E06000014,0.101955338,0.044477697,0.057477642,NA,0.285714286,York,2020-12-11E06000014,68,NA,NA
129,14/01/2021,E06000014,0.013804492,0.035141477,-0.021336985,NA,0.142857143,York,2021-01-14E06000014,102,NA,NA
130,14/11/2020,E06000014,-0.055333783,-0.099536129,0.044202346,NA,0,York,2020-11-14E06000014,41,NA,NA
131,13/12/2020,E06000014,0.113993679,-0.02074118,0.134734859,NA,0.571428571,York,2020-12-13E06000014,70,NA,NA
132,30/10/2020,E06000014,0.014387753,0.041692139,-0.027304386,NA,0,York,2020-10-30E06000014,26,NA,NA
133,16/12/2020,E06000014,0.178459907,0.085656929,0.092802977,NA,0.571428571,York,2020-12-16E06000014,73,NA,NA
134,19/11/2020,E06000014,0.030956378,-0.00594167,0.036898048,NA,0,York,2020-11-19E06000014,46,NA,NA
135,06/01/2021,E06000014,0.105684319,0.078264548,0.027419771,NA,1.285714286,York,2021-01-06E06000014,94,NA,NA
136,02/12/2020,E06000014,0.10336932,0.038947207,0.064422113,NA,0.571428571,York,2020-12-02E06000014,59,NA,NA
137,17/11/2020,E06000014,0.027720281,-0.013680647,0.041400927,NA,0,York,2020-11-17E06000014,44,NA,NA
138,10/01/2021,E06000014,-0.118957472,-0.111206023,-0.007751449,NA,0.142857143,York,2021-01-10E06000014,98,NA,NA
139,07/01/2021,E06000014,-0.016830024,-0.056630072,0.039800048,NA,1.285714286,York,2021-01-07E06000014,95,NA,NA
140,27/11/2020,E06000014,0.030526481,-0.03676067,0.067287151,NA,0.142857143,York,2020-11-27E06000014,54,NA,NA
141,01/11/2020,E06000014,0.011416043,-0.085640937,0.097056979,NA,0,York,2020-11-01E06000014,28,NA,NA
142,04/11/2020,E06000014,0.031348518,0.067636132,-0.036287614,NA,0,York,2020-11-04E06000014,31,NA,NA
